x,y,radar,true
0.5,147.5,1.09103105182,0.0
0.5,148.5,1.09103105182,0.0
0.5,149.5,1.09103105182,0.0
0.5,150.5,1.23627945403,0.0
0.5,151.5,1.23627945403,0.0
0.5,152.5,1.23627945403,0.0
0.5,153.5,1.23627945403,0.0
0.5,154.5,1.23627945403,0.0
0.5,155.5,1.01626858691,0.0
0.5,156.5,1.01626858691,0.0
0.5,157.5,1.01626858691,0.0
0.5,158.5,1.01626858691,0.0
0.5,159.5,1.01626858691,0.0
0.5,160.5,1.52009324665,0.0
0.5,161.5,1.52009324665,0.626187406544
0.5,162.5,1.52009324665,0.449033243271
0.5,163.5,1.52009324665,0.300869295191
0.5,164.5,1.52009324665,1.82334371632
0.5,165.5,1.90489711059,0.986085718601
0.5,166.5,1.90489711059,0.387851352558
0.5,167.5,1.90489711059,1.09057253191
0.5,168.5,1.90489711059,0.919604138614
0.5,169.5,1.90489711059,1.57622421848
0.5,170.5,3.40265964738,0.380429437232
0.5,171.5,3.40265964738,1.83242357841
0.5,172.5,3.40265964738,0.912754337312
0.5,173.5,3.40265964738,2.61405040018
0.5,174.5,3.40265964738,6.42524597564
0.5,175.5,19.1853988089,24.2518622806
0.5,176.5,19.1853988089,34.5425740832
0.5,177.5,19.1853988089,56.876251319
0.5,178.5,19.1853988089,22.8589058817
0.5,179.5,19.1853988089,20.0783795134
0.5,180.5,21.1168928897,9.45842174504
0.5,181.5,21.1168928897,14.0649107489
0.5,182.5,21.1168928897,20.8924010568
0.5,183.5,21.1168928897,35.1633368224
0.5,184.5,21.1168928897,39.7134910855
0.5,185.5,18.3617795975,20.5494519211
0.5,186.5,18.3617795975,13.2505029732
0.5,187.5,18.3617795975,7.40449636489
0.5,188.5,18.3617795975,14.1625341701
0.5,189.5,18.3617795975,9.8255419854
0.5,190.5,24.0295426561,15.0510737171
0.5,191.5,24.0295426561,37.6887278738
0.5,192.5,24.0295426561,29.1010067169
0.5,193.5,24.0295426561,7.87631018269
0.5,194.5,24.0295426561,31.5171812123
0.5,195.5,15.8080408719,19.4858235707
0.5,196.5,15.8080408719,44.6715318238
0.5,197.5,15.8080408719,18.2774059406
0.5,198.5,15.8080408719,10.011452619
0.5,199.5,15.8080408719,21.353150658
1.5,0.5,1.10969721922,0.0
1.5,1.5,1.10969721922,0.0
1.5,2.5,1.10969721922,0.0
1.5,3.5,1.10969721922,0.0
1.5,4.5,1.10969721922,0.0
1.5,5.5,1.2254183208,0.0
1.5,6.5,1.2254183208,0.0
1.5,7.5,1.2254183208,0.0
1.5,8.5,1.2254183208,0.0
1.5,9.5,1.2254183208,0.0
1.5,10.5,1.01924348731,0.0
1.5,11.5,1.01924348731,0.0
1.5,12.5,1.01924348731,0.0
1.5,13.5,1.01924348731,0.0
1.5,14.5,1.01924348731,0.0
1.5,15.5,1.06366601639,0.0
1.5,16.5,1.06366601639,0.0
1.5,17.5,1.06366601639,0.0
1.5,18.5,1.06366601639,0.0
1.5,19.5,1.06366601639,0.0
1.5,20.5,1.183027618,0.0
1.5,21.5,1.183027618,0.0
1.5,22.5,1.183027618,0.0
1.5,23.5,1.183027618,0.0
1.5,24.5,1.183027618,0.0
1.5,25.5,1.02829907749,0.0
1.5,26.5,1.02829907749,0.0
1.5,27.5,1.02829907749,0.0
1.5,28.5,1.02829907749,0.0
1.5,29.5,1.02829907749,0.0
